score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.356,15.93,32.54,1.21,-14.94,5.97,0.1,229.46
0.369,15.93,32.54,1.91,-14.94,7.9,0.1,229.46
0.335,15.93,30.23,0.71,-14.94,5.97,5.16,229.46
0.322,15.93,30.23,0.07,-14.94,5.97,5.16,229.46
0.328,24.62,30.23,1.91,-14.94,5.97,0.1,229.46
0.348,15.93,32.54,1.91,-14.94,5.97,6.04,229.46
0.376,15.93,30.23,1.75,-14.94,5.97,0.1,229.46
0.366,15.93,32.54,1.91,-14.94,5.97,0.1,196.47
0.361,15.93,32.54,1.91,-12.84,5.97,0.1,229.46
0.368,15.93,32.54,1.91,-14.94,5.97,0.19,229.46
0.367,15.93,30.23,1.91,-14.94,5.97,5.16,96.04
0.38,15.93,30.23,1.91,-14.94,9.42,0.1,229.46
0.325,15.93,54.05,1.91,-14.94,5.97,5.16,229.46
0.363,15.93,30.23,1.11,-14.94,5.97,0.1,229.46
0.36,15.93,32.54,1.91,-12,5.97,0.1,229.46
0.331,15.93,45.87,1.91,-14.94,5.97,5.16,229.46
0.349,15.93,32.54,1.91,-14.94,5.97,5.16,243.3
0.38,15.93,30.23,1.91,-14.94,5.97,0.1,161.69
0.369,15.93,30.23,1.91,-14.94,5.97,5.16,117.37
0.327,48.57,30.23,1.91,-14.94,5.97,0.1,229.46
0.378,15.93,30.23,1.91,-14.94,5.97,0.1,233.4
0.342,15.93,32.54,1.91,-4.94,5.97,5.16,229.46
0.348,15.93,32.54,1.91,-11.37,5.97,5.16,229.46
0.324,15.93,58.49,1.91,-14.94,5.97,5.16,229.46
0.374,17.59,30.23,1.91,-14.94,5.97,0.1,229.46
0.351,15.93,30.23,0.5,-14.94,5.97,0.1,229.46
0.378,15.93,30.23,1.91,-14.94,4.29,0.1,229.46
0.334,15.93,32.54,1.05,-14.94,5.97,5.16,229.46
0.339,15.93,58.07,1.91,-14.94,5.97,0.1,229.46
0.343,15.93,55.08,1.91,-14.94,5.97,0.1,229.46
0.325,29.36,30.23,1.91,-14.94,5.97,0.1,229.46
0.369,15.93,32.54,1.91,-14.94,8.65,0.1,229.46
0.372,15.93,30.23,1.91,-14.94,5.97,0.6,229.46
0.371,15.93,32.19,1.91,-14.94,5.97,0.1,229.46
0.388,15.93,30.23,1.91,-14.94,7.85,0.1,191.65
0.356,15.93,30.23,1.91,-1.83,5.97,0.1,191.65
0.374,15.93,30.23,1.91,-14.94,5.97,0.46,161.69
0.368,15.93,30.23,1.19,-14.94,5.97,0.1,161.69
0.363,15.93,30.23,1.91,-14.94,5.97,9.15,191.65
0.351,15.93,30.23,0.57,-14.94,5.97,0.1,161.69
0.371,15.93,30.23,1.39,-14.94,5.97,0.1,191.65
0.374,15.93,30.23,1.91,-14.94,5.97,0.1,261.71
0.382,15.93,30.23,1.91,-14.94,3.67,0.1,191.65
0.376,15.93,30.23,1.91,-11.31,5.97,0.1,161.69
0.38,15.93,30.23,1.91,-14.94,4.3,0.1,161.69
0.329,58.45,30.23,1.91,-14.94,5.97,0.1,161.69
0.38,15.93,30.23,1.91,-14.94,5.97,0.1,194.21
0.37,15.93,30.23,1.91,-14.94,5.97,5.69,161.69
0.351,15.93,30.23,0.94,-14.94,5.97,0.1,191.65
0.38,15.93,30.23,1.91,-13.34,5.97,0.1,161.69
0.351,15.93,46.24,1.91,-14.94,5.97,0.1,191.65
0.35,15.93,48.64,1.91,-14.94,5.97,0.1,191.65
0.32,44.01,30.23,1.91,-14.94,5.97,0.1,191.65
0.377,15.93,30.23,1.91,-14.94,5.97,0.1,242.92
0.361,15.93,30.23,1.91,-14.94,5.97,9.09,191.65
0.372,15.93,30.23,1.91,-14.94,5.97,1.13,161.69
0.365,15.93,30.23,1.91,-6.32,5.97,0.1,191.65
0.378,15.93,30.23,1.91,-10.63,5.97,0.1,161.69
0.361,15.93,30.23,1.91,-5.88,5.97,0.1,191.65
0.389,15.93,30.23,1.91,-14.94,8.87,0.1,161.69
0.366,15.93,30.23,1.91,-14.94,5.97,8.39,191.65
0.375,15.93,31.32,1.91,-14.94,5.97,0.1,191.65
0.369,15.93,30.23,1.91,-6.82,5.97,0.1,191.65
0.362,15.93,30.23,1.14,-14.94,5.97,0.1,191.65
0.364,15.93,30.23,1.91,-7.6,5.97,0.1,191.65
0.362,15.93,30.23,1.23,-14.94,5.97,0.1,191.65
0.347,20.99,30.23,1.91,-14.94,5.97,0.1,191.65
0.348,15.93,59.75,1.91,-14.94,5.97,0.1,161.69
0.395,15.93,30.23,1.91,-14.94,5.97,0.1,85.86
0.373,15.93,30.23,1.91,-14.94,5.97,0.1,292.75
0.33,49.88,30.23,1.91,-14.94,5.97,0.1,191.65
0.363,15.93,30.23,1.91,-6.65,5.97,0.1,161.69
0.375,15.93,30.23,1.91,-14.94,5.97,0.1,292.03
0.358,15.93,36.11,1.91,-14.94,5.97,0.1,161.69
0.381,15.93,30.23,1.91,-14.94,5.03,0.1,191.65
0.359,19.63,30.23,1.91,-14.94,5.97,0.1,191.65
0.366,15.93,30.23,1.91,-14.94,5.97,9.22,161.69
0.353,15.93,54.36,1.91,-14.94,5.97,0.1,161.69
0.366,15.93,30.23,1.91,-14.94,5.97,9.16,161.69
0.358,15.93,37.58,1.91,-14.94,5.97,0.1,161.69
0.382,15.93,30.23,1.91,-14.94,5.97,0.41,161.69
0.361,15.93,30.23,1.91,-14.94,5.97,7.6,161.69
0.356,15.93,30.23,1.91,-3.12,5.97,0.1,191.65
0.358,15.93,30.23,1.91,-3,5.97,0.1,161.69
0.332,15.93,30.23,0.03,-14.94,5.97,0.1,161.69
0.356,15.93,38.94,1.91,-14.94,5.97,0.1,161.69
0.326,52.94,30.23,1.91,-14.94,5.97,0.1,191.65
0.363,15.93,30.23,1.91,-14.94,5.97,6.82,191.65
0.382,15.93,30.23,1.91,-14.94,5.97,0.88,161.69
0.385,15.93,30.23,1.91,-14.94,5.97,0.63,161.69
0.339,23.5,30.23,1.91,-14.94,5.97,0.1,161.69
0.365,15.93,30.23,1.91,-6.8,5.97,0.1,191.65
0.37,15.93,30.23,1.91,-10.87,5.97,0.1,191.65
0.378,15.93,30.23,1.45,-14.94,8.87,0.1,161.69
0.38,15.93,30.23,1.91,-14.94,5.97,0.1,278.76
0.348,15.93,30.23,0.32,-14.94,5.97,0.1,161.69
0.387,15.93,30.23,1.91,-14.94,3.47,0.1,85.86
0.393,15.93,30.23,1.43,-14.94,8.87,0.1,85.86
0.392,15.93,30.23,1.91,-14.94,8.87,0.1,122.14
0.365,15.93,30.23,1.91,-14.94,1.52,0.1,85.86
0.347,15.93,44.46,1.91,-14.94,8.87,0.1,161.69
0.381,15.93,30.23,1.91,-14.94,8.87,0.1,208
0.391,15.93,30.23,1.91,-14.94,6.32,0.1,161.69
0.371,15.93,30.23,1.91,-5.83,5.97,0.1,85.86
0.405,15.93,30.23,1.91,-14.94,9.62,0.1,85.86
0.354,15.93,30.23,1.91,-3.49,5.97,0.1,161.69
0.374,15.93,30.23,1.91,-14.94,5.97,0.1,262.16
0.367,15.93,30.23,1.91,-7.54,8.87,0.1,161.69
0.345,55.63,30.23,1.91,-14.94,5.97,0.1,85.86
0.396,17.08,30.23,1.91,-14.94,8.87,0.1,85.86
0.383,15.93,30.23,1.91,-11.72,5.97,0.1,161.69
0.373,15.93,30.23,1.91,-14.94,8.87,7.91,85.86
0.347,56.56,30.23,1.91,-14.94,5.97,0.1,85.86
0.394,15.93,30.23,1.91,-14.94,5.97,0.1,115.83
0.369,15.93,30.23,1.91,-14.94,5.97,5.72,85.86
0.368,15.93,30.23,1.91,-9.61,8.87,0.1,161.69
0.392,15.93,30.23,1.99,-14.94,8.87,0.1,161.69
0.327,58.85,30.23,1.91,-14.94,5.97,0.1,161.69
0.35,36.37,30.23,1.91,-14.94,8.87,0.1,85.86
0.383,15.93,30.23,1.91,-14.94,5.97,0.1,144.17
0.384,15.93,30.23,1.91,-14.94,6.51,0.1,161.69
0.384,15.93,30.23,1.91,-14.94,5.76,0.1,161.69
0.39,17.19,30.23,1.91,-14.94,5.97,0.1,85.86
0.387,15.93,30.23,1.91,-12.04,8.87,0.1,161.69
0.357,33.17,30.23,1.91,-14.94,8.87,0.1,85.86
0.349,15.93,52.7,1.91,-14.94,5.97,0.1,161.69
0.359,15.93,30.23,1.91,-2,5.97,0.1,85.86
0.403,15.93,30.23,1.91,-14.94,6.76,0.1,85.86
0.378,15.93,41.91,1.91,-14.94,8.87,0.1,85.86
0.368,15.93,54.1,1.91,-14.94,5.97,0.1,85.86
0.372,15.93,30.23,1.91,-6.47,8.87,0.1,85.86
0.369,15.93,30.23,1.91,-4.07,5.97,0.1,85.86
0.376,15.93,30.23,1.91,-14.94,5.97,3.02,85.86
0.35,15.93,52.94,1.91,-14.94,5.97,0.1,161.69
0.395,15.93,31.83,1.91,-14.94,5.97,0.1,85.86
0.363,15.93,46.69,1.91,-14.94,5.97,0.1,85.86
0.371,15.93,30.23,1.91,-14.94,2.82,0.1,161.69
0.325,40.04,30.23,1.91,-14.94,5.97,0.1,161.69
0.364,15.93,30.23,1.91,-14.94,8.87,8.13,85.86
0.344,35.22,30.23,1.91,-14.94,5.97,0.1,85.86
0.351,21.64,30.23,1.91,-14.94,5.97,0.1,161.69
0.328,42.84,30.23,1.91,-14.94,8.87,0.1,161.69
0.381,15.93,30.23,1.91,-14.94,8.87,1.42,85.86
0.341,15.93,30.23,0.08,-14.94,5.97,0.1,161.69
0.363,15.93,30.23,1.91,-3.68,5.97,0.1,85.86
0.396,15.93,30.23,1.91,-14.94,6.76,0.1,85.86
0.353,34.45,30.23,1.91,-14.94,8.87,0.1,85.86
0.372,15.93,30.23,0.79,-14.94,8.87,0.1,85.86
0.362,15.93,30.23,0.76,-14.94,5.97,0.1,161.69
0.356,24.57,30.23,1.91,-14.94,5.97,0.1,85.86
0.373,15.93,30.23,1.91,-9.32,5.97,0.1,161.69
0.374,15.93,30.23,1.91,-6.41,8.87,0.1,85.86
0.358,15.93,30.23,1.91,-3.04,6.76,0.1,85.86
0.368,15.93,30.23,1.91,-14.94,6.76,5.74,85.86
0.366,15.93,58.08,1.91,-14.94,6.76,0.1,85.86
0.403,15.93,30.23,1.91,-14.94,9.62,0.18,85.86
0.371,15.93,30.23,1.91,-14.94,9.62,6.06,85.86
0.371,15.93,30.23,1.91,-14.94,6.76,4.88,85.86
0.38,15.93,30.23,1.91,-14.94,6.76,0.1,149.25
