score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.277,15.04,30.89,1.87,-9.37,3.99,6.67,174.93
0.274,15.04,30.89,1.87,-9.37,9.81,9.39,174.93
0.282,15.04,30.89,1.87,-9.37,3.99,1.4,204.52
0.274,15.04,45.93,1.87,-9.37,9.81,3.09,79.92
0.276,15.04,30.89,1.87,-9.37,1.69,1.4,174.93
0.281,15.04,51.52,1.87,-9.37,9.81,1.4,79.92
0.237,41.33,30.89,1.87,-9.37,3.99,3.09,79.92
0.281,15.04,30.89,1.81,-9.37,2.97,1.4,79.92
0.28,15.04,30.89,1.81,-9.37,9.81,4.35,79.92
0.284,15.04,30.89,1.81,-9.37,9.06,1.4,79.92
0.277,15.04,30.89,1.87,-9.37,3.99,1.4,293.54
0.271,15.04,30.89,1.87,-1.33,9.81,1.4,112.85
0.241,15.04,30.89,0.19,-9.37,9.81,1.4,79.92
0.279,15.04,53.6,1.81,-9.37,9.81,1.4,79.92
0.24,42.31,30.89,1.87,-9.37,9.81,1.4,112.85
0.255,15.04,30.89,0.51,-9.37,3.99,1.4,112.85
0.241,53.49,30.89,1.81,-9.37,9.81,1.4,79.92
0.28,15.04,30.89,1.76,-9.37,9.81,1.4,112.85
0.273,15.04,30.89,1.81,-9.37,3.99,8.91,112.85
0.276,15.04,43.68,1.87,-9.37,9.81,1.4,112.85
0.276,15.04,40.41,1.81,-9.37,9.81,1.4,79.92
0.257,18.42,30.89,1.87,-9.37,3.99,1.4,112.85
0.294,15.04,30.89,1.87,-13.72,3.99,1.4,79.92
0.269,15.04,30.89,1.81,-1.91,3.99,1.4,112.85
0.234,56.85,30.89,1.81,-9.37,3.99,1.4,112.85
0.284,15.04,30.89,1.87,-9.37,9.81,1.4,123.4
0.235,41.7,30.89,1.87,-9.37,3.99,1.4,79.92
0.279,15.04,30.89,1.87,-9.37,9.81,7.22,112.85
0.273,15.04,39.47,1.81,-9.37,9.81,1.4,112.85
0.24,37.55,30.89,1.81,-9.37,3.99,1.4,79.92
0.292,15.04,30.89,1.87,-12.44,9.81,1.4,79.92
0.278,15.04,43.97,1.81,-9.37,3.99,1.4,112.85
0.278,15.04,54.9,1.81,-9.37,9.81,1.4,79.92
0.279,15.04,30.89,1.81,-9.37,9.81,1.4,225.34
0.258,15.04,30.89,0.74,-9.37,9.81,1.4,79.92
0.28,15.04,30.89,1.81,-9.37,9.81,1.4,186.31
0.277,15.04,30.89,1.87,-9.37,3.99,1.4,222.67
0.276,15.04,43.0,1.81,-9.37,3.99,1.4,112.85
0.278,15.04,30.89,1.87,-9.37,9.81,9.47,112.85
0.276,15.04,40.85,1.87,-9.37,3.99,1.4,79.92
0.272,15.04,30.89,1.81,-9.37,3.99,1.4,285.55
0.267,15.04,30.89,1.81,-0.42,9.81,1.4,112.85
0.273,15.04,30.89,1.87,-1.77,9.81,1.4,112.85
0.239,36.78,30.89,1.81,-9.37,9.81,1.4,79.92
0.282,15.04,30.89,1.87,-9.37,3.99,1.76,79.92
0.278,15.04,34.86,1.87,-9.37,3.99,1.4,112.85
0.284,15.04,30.89,1.87,-9.37,9.81,1.4,112.85
0.271,15.04,57.54,1.81,-9.37,9.81,1.4,112.85
0.282,15.04,30.89,1.87,-9.37,3.99,3.46,79.92
0.288,15.04,30.89,1.81,-9.37,9.81,1.4,53.21
0.239,45.63,30.89,1.81,-9.37,3.99,1.4,79.92
0.279,15.04,30.89,1.81,-9.37,3.99,1.4,189.2
0.28,15.04,34.68,1.87,-9.37,3.99,1.4,112.85
0.282,15.04,33.01,1.87,-9.37,3.99,1.4,79.92
0.281,15.04,30.89,1.81,-9.37,5.59,1.4,112.85
0.282,15.04,59.03,1.87,-9.37,9.81,1.4,79.92
0.239,30.37,30.89,1.87,-9.37,3.99,1.4,79.92
0.279,15.04,44.43,1.81,-9.37,3.99,1.4,112.85
0.28,15.04,30.89,1.81,-6.54,9.81,1.4,112.85
0.274,15.04,30.89,1.81,-9.37,3.99,6.88,112.85
0.274,15.04,45.93,1.87,-9.37,9.81,1.4,112.85
0.274,15.04,51.17,1.87,-9.37,3.99,1.4,79.92
0.274,15.04,51.52,1.87,-9.37,3.99,1.4,112.85
0.276,15.04,42.35,1.87,-9.37,3.99,1.4,79.92
0.282,15.04,56.33,1.87,-9.37,9.81,1.4,79.92
