score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.179,34.12,54.52,0.29,-9.58,1.78,1.83,237.65
0.264,49.95,53.72,3.81,-9.35,3.23,9.29,183.86
0.286,51.12,59.31,4.63,-0.73,4.69,5.4,66.8
0.207,31.43,46.04,1.15,-6.48,3.24,4.72,281.83
0.289,36.91,32.45,4.77,-3.63,4.33,5.08,74.22
0.194,39.33,31.16,0.75,-5.26,1.74,3.3,198.04
0.223,55.87,36.86,1.81,-7.23,3.58,9.61,158.27
0.234,54.28,34.49,2.31,-5.32,6.6,6.76,148.09
0.22,35.95,58.34,1.85,-8.75,5.88,2.15,250.19
0.167,50.72,48.0,0.08,-5.77,5.97,7.66,135.23
0.181,58.07,43.39,0.43,-5.64,8.57,1.96,130.62
0.223,59.33,32.2,1.69,-5.61,5.33,5.53,221.26
0.229,41.73,31.03,1.69,-9.79,5.51,8.7,71.05
0.271,42.2,57.39,4.15,-2.62,7.4,0.18,158.94
0.22,56.68,51.67,1.76,-4.39,6.57,8.65,187.16
0.289,55.63,52.1,4.98,-6.59,5.64,6.35,53.72
0.209,46.17,44.1,1.39,-3.84,7.49,6.74,276.59
0.183,43.95,51.36,0.9,-3.47,2.19,7.98,252.99
0.233,34.18,57.75,2.45,-0.87,8.79,3.6,232.25
0.205,56.45,59.97,1.27,-2.11,4.48,0.77,120.2
0.241,34.78,51.66,2.73,-8.48,6.44,1.69,193.02
0.229,40.32,52.76,2.47,-1.76,4.17,4.11,118.26
0.172,50.81,57.83,0.35,-4.16,5.81,8.44,169.2
0.252,48.92,38.94,3.08,-1.79,2.07,6.75,79.32
0.243,53.42,45.65,3.04,-6.01,5.33,1.86,254.93
0.259,37.4,48.07,3.43,-7.04,2.09,1.67,85.63
0.174,44.33,40.31,0.74,-1.07,3.31,0.1,128.76
0.21,37.73,41.88,1.18,-6.62,6.01,0.77,67.07
0.237,37.65,43.22,2.64,-6.96,1.26,8.87,121.28
0.186,45.02,32.9,0.71,-3.26,3.15,6.15,181.28
0.226,45.95,57.0,2.36,-0.86,6.41,7.45,167.75
0.252,49.03,56.97,2.95,-3.02,2.75,0.88,288.22
0.224,35.49,39.4,2.04,-1.83,3.67,1.66,156.87
0.245,54.76,31.32,2.67,-2.96,5.2,8.74,145.31
0.187,51.21,35.06,0.68,-3.66,4.87,5.45,204.15
0.279,38.44,44.66,4.21,-9.09,6.14,8.3,55.18
0.219,51.46,36.06,1.66,-9.96,4.07,8.37,70.05
0.234,57.51,42.9,2.47,-7.15,9.42,2.06,244.77
0.258,45.79,39.46,3.39,-2.07,8.91,0.71,54.62
0.207,38.15,39.87,1.34,-8.11,3.53,7.34,139.79
0.272,47.61,46.54,4.08,-3.34,8.4,5.57,62.4
0.197,40.89,38.27,1.04,-3.5,8.46,7.77,126.55
0.224,43.62,38.83,1.83,-5.51,9.9,0.9,152.17
0.215,57.48,47.35,1.79,-2.43,9.83,7.53,277.82
0.168,46.92,39.03,0.67,-0.57,2.75,7.98,198.47
0.141,42.2,39.21,0.08,-0.94,6.07,7.71,214.85
0.259,56.76,33.1,3.46,-2.97,5.24,2.01,160.04
0.297,30.58,51.57,4.94,-1.5,5.46,7.17,130.23
0.269,40.35,41.48,3.9,-6.46,6.42,7.96,282.54
0.27,50.96,46.14,4.08,-6.1,5.2,8.57,64.49
0.287,55.13,53.44,4.86,-7.11,6.33,8.95,55.77
0.248,54.7,54.47,3.25,-4.22,9.61,4.01,147.77
0.263,40.91,45.11,3.52,-5.61,4.9,1.96,187.38
0.295,36.4,48.67,4.9,-5.55,2.37,9.93,147.53
0.259,44.99,56.21,3.54,-5.35,8.77,2.56,95.42
0.244,49.56,41.46,2.67,-2.49,5.25,9.4,86.77
0.189,55.17,53.67,0.59,-4.49,8.06,4.21,171.3
0.224,52.36,55.85,1.97,-1.63,8.31,1.27,217.21
0.222,54.71,55.11,2.09,-7.84,2.54,8.54,133.38
0.205,54.17,48.25,1.09,-5.8,8.26,8.71,138.19
0.248,53.41,31.72,2.64,-8.62,9.66,7.01,138.62
0.239,58.84,33.01,2.25,-6.91,9.93,0.98,181.9
