Instruments,Intervals,rating_stimulus,rating_score,HAAQI,PEAQ_B,PEAQ_ADV,VISQ,PEMO
piano,C4A#4,wav_ak_EQ,806,0.7138355611805858,0.80775,0.15075,0.9139304730199436,0.64737657
piano,C4A#4,wav_muk_EQ,775,0.6060822258141783,0.242,0.4679999999999999,0.3406589355568478,0.30049910775
piano,C4C#4,32k,960,0.8374115725044975,0.3804999999999999,0.0675,0.9321458023605728,0.17698301525000004
piano,C4C#4,96k,1106,0.9342748484523808,0.5,0.76075,0.932453043584367,0.39150227449999997
piano,C4C#4,96k_ak_EQ,674,0.8149869594097892,0.3642499999999999,0.37525,0.9194857130946305,0.39474375274999995
piano,C4C#4,96k_muk_EQ,683,0.6480576367505954,0.052,0.1714999999999999,0.3979397652685027,0.23798839275000006
piano,C4C#4,wav,1151,1.0,1.0,1.0,1.0,1.0
piano,C4C#4,wav_ak_EQ,719,0.8626310157307109,0.7382500000000001,0.4715,0.9197481113693292,0.56249390875
piano,C4C#4,wav_muk_EQ,737,0.6787358479925407,0.2212499999999999,0.47175,0.3152844148236098,0.34071625250000004
piano,C4F#4,32k,753,0.644060903903161,0.406,0.059,0.9324985367003508,0.18231995349999996
piano,C4F#4,96k,1135,0.8691774520399578,0.6125,0.7635000000000001,0.9329120762253468,0.40540434775
piano,C4F#4,96k_ak_EQ,929,0.4337868965706825,0.3742499999999999,0.13175,0.9098671161151756,0.38789226750000005
piano,C4F#4,96k_muk_EQ,784,0.5324488408175795,0.04825,0.04625,0.4553414237672143,0.24071873875000005
piano,C4F#4,wav,1035,1.0,1.0,1.0,1.0,1.0
