score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.492,16.79,36.02,1.93,-13.99,9.01,0.21,65.96
0.486,16.79,33.74,1.93,-14.32,7.86,0.21,96.37
0.44,16.79,33.74,1.93,-13.99,9.01,9.39,65.96
0.467,21.66,33.74,1.93,-14.32,7.86,0.21,65.96
0.441,16.79,33.74,1.93,-14.32,2.01,0.21,65.96
0.498,16.79,33.74,1.93,-13.99,9.15,0.21,65.96
0.478,16.79,57.16,1.93,-13.99,7.86,0.21,65.96
0.489,16.79,33.74,1.93,-14.32,9.01,0.21,114.36
0.459,54.74,33.74,1.93,-13.99,9.01,0.21,65.96
0.494,16.79,33.74,1.93,-13.99,9.01,0.33,65.96
0.478,16.79,33.74,1.93,-14.32,3.5,0.21,65.96
0.435,16.79,33.74,1.93,-13.99,1.76,0.21,65.96
0.47,16.79,33.74,1.93,-14.32,9.01,0.21,157.36
0.449,16.79,33.74,1.93,-14.32,2.21,0.21,65.96
0.447,16.79,33.74,1.93,-14.32,9.01,7.21,65.96
0.458,16.79,33.74,1.93,-13.99,9.5,0.21,294.77
0.471,16.79,33.74,0.86,-13.99,9.89,0.21,65.96
0.468,16.79,33.74,0.7,-13.99,9.5,0.21,65.96
0.437,16.79,33.74,0.19,-13.99,9.89,0.21,65.96
0.458,16.79,33.74,0.44,-13.99,9.5,0.21,65.96
0.459,30.96,33.74,1.93,-13.99,9.89,0.21,65.96
0.441,16.79,33.74,1.93,-6.14,9.89,0.21,65.96
0.435,16.79,33.74,1.93,-6.11,9.89,0.21,65.96
