update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,0,21,0.526,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.0,6.87,300.0,60.0,30.0,2.0,-15.0,6.31,0.1,50.0
0,0,22,0.5103,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,30.0,2.0,-15.0,3.76,0.1,50.0
0,0,23,0.4344,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,8.9,300.0,15.0,60.0,2.0,0.0,1.0,10.0,300.0,60.0,30.0,2.0,-15.0,1.0,0.1,50.0
0,0,24,0.4303,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,1.51,10.0,300.0,60.0,30.0,1.79,-15.0,1.0,0.1,50.0
0,0,25,0.5239,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,9.98,7.81,300.0,60.0,30.0,2.0,-15.0,5.46,0.1,50.0
0,0,26,0.5068,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,5.75,300.0,15.0,60.0,2.0,0.0,10.0,10.0,300.0,60.0,30.0,2.0,-15.0,3.38,0.1,50.0
0,0,27,0.4344,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,5.63,300.0,15.0,60.0,2.0,0.0,10.0,10.0,300.0,60.0,30.0,2.0,-15.0,1.0,0.1,50.0
0,0,28,0.4344,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,15.0,60.0,2.0,0.0,10.0,9.2,300.0,60.0,30.0,2.0,-15.0,1.0,0.1,50.0
0,0,29,0.3939,60.0,60.0,0.0,-15.0,10.0,0.1,300.0,60.0,30.0,2.0,-15.0,1.0,10.0,300.0,39.22,60.0,2.0,0.0,10.0,10.0,300.0,60.0,30.0,2.0,-15.0,1.0,0.1,50.0
0,1,0,0.3306,44.78,60.0,0.35,-0.99,6.68,10.0,50.0,15.0,60.0,0.0,0.0,7.69,0.1,220.71,60.0,30.0,1.56,-1.85,9.71,10.0,214.19,60.0,38.52,0.25,-1.74,10.0,0.1,97.21
0,1,1,0.3506,26.38,60.0,1.04,0.0,10.0,10.0,50.0,15.0,60.0,0.0,0.0,3.4,0.1,228.14,60.0,30.0,1.47,-15.0,10.0,6.94,211.65,60.0,53.53,0.35,0.0,10.0,0.1,50.0
0,1,2,0.3592,25.73,57.4,1.67,-3.36,10.0,10.0,50.0,15.0,60.0,0.0,0.0,8.26,0.1,300.0,60.0,30.0,1.67,-9.73,10.0,10.0,279.51,60.0,53.33,1.25,0.0,10.0,3.37,50.0
0,1,3,0.4071,15.0,47.8,1.35,-10.85,5.09,10.0,50.0,15.0,60.0,0.35,-3.23,3.84,0.1,300.0,60.0,30.0,0.78,-15.0,10.0,10.0,300.0,60.0,60.0,0.99,0.0,10.0,0.1,89.23
0,1,4,0.487,15.0,32.36,2.0,-14.16,3.93,10.0,50.0,15.0,60.0,1.78,0.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,7.21,10.0,178.61,60.0,56.47,2.0,0.0,10.0,0.1,89.78
0,1,5,0.4259,15.0,35.62,2.0,-2.87,1.0,10.0,50.0,15.0,60.0,0.87,0.0,1.0,0.1,300.0,60.0,30.0,0.0,-5.55,7.85,10.0,300.0,60.0,44.73,2.0,0.0,9.13,0.1,75.03
0,1,6,0.4955,15.0,30.0,1.59,-6.36,5.98,10.0,50.0,15.0,60.0,2.0,0.0,1.0,0.1,277.87,60.0,30.0,0.0,0.0,10.0,7.27,296.61,60.0,30.0,2.0,0.0,6.69,2.35,267.4
0,1,7,0.4386,15.0,30.0,0.37,-3.93,4.39,10.0,50.0,15.0,60.0,2.0,0.0,4.6,0.1,226.62,60.0,30.0,0.0,0.0,10.0,5.44,203.29,60.0,40.33,2.0,0.0,1.0,2.42,191.25
0,1,8,0.4351,15.0,30.0,0.0,-9.86,8.0,10.0,50.0,15.0,60.0,2.0,0.0,1.0,0.1,298.31,60.0,30.0,0.0,0.0,10.0,10.0,108.57,60.0,48.31,2.0,0.0,1.0,0.1,50.0
0,1,9,0.427,15.0,34.13,0.0,-9.85,10.0,10.0,50.0,15.0,55.22,2.0,0.0,9.39,0.1,298.52,60.0,30.0,0.0,0.0,10.0,10.0,165.96,60.0,45.26,2.0,0.0,1.0,0.1,50.0
0,1,10,0.4492,15.0,32.76,0.0,0.0,10.0,10.0,50.0,15.0,54.38,2.0,0.0,2.49,0.1,227.82,60.0,30.0,0.0,0.0,10.0,10.0,50.0,60.0,31.99,1.67,-1.16,1.0,0.1,50.0
