score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.319,25.69,43.03,1.9,-4.91,5.85,5.13,66.65,18.32,39.95,0.65,-0.32,2.64,8.59,282.46,44.68,32.9,1.12,-4.22,3.16,9.12,267.63,57.04,35.2,1.19,-5.49,3.82,3.17,122.25
0.381,25.69,43.03,1.9,-4.91,5.85,5.13,66.65,18.32,32.43,0.65,-5.5,2.64,8.59,282.46,15.81,32.9,1.12,-4.22,3.16,7.73,170.65,57.04,37.87,1.14,-11.57,3.82,3.17,122.25
0.356,57.33,43.03,1.9,-13.18,5.85,5.13,190.0,19.88,39.95,0.65,-5.5,6.22,8.59,282.46,15.81,41.52,1.12,-11.97,3.16,7.73,170.65,57.04,35.2,1.92,-5.49,3.82,4.07,122.25
0.385,25.69,32.26,1.9,-4.91,5.85,3.44,190.0,18.32,39.95,0.65,-5.5,6.22,8.59,172.39,15.81,32.9,1.12,-11.97,9.18,7.73,170.65,57.04,35.2,1.14,-5.49,3.82,4.07,206.55
0.305,57.33,32.26,1.9,-2.05,5.85,2.27,190.0,19.88,39.95,0.98,-0.32,6.22,0.35,172.39,44.68,41.52,1.15,-4.22,3.16,7.73,267.63,57.04,35.2,1.14,-11.57,3.82,3.17,206.55
0.347,25.69,43.03,1.85,-4.91,5.26,2.27,190.0,19.88,32.43,0.98,-0.32,2.64,8.59,172.39,44.68,41.52,1.15,-4.22,9.18,7.73,267.63,17.82,32.3,1.06,-5.49,3.82,3.17,122.25
0.381,25.69,32.26,1.9,-4.91,5.85,5.13,66.65,18.32,39.95,0.65,-0.32,2.64,0.35,282.46,44.68,32.9,1.15,-11.97,9.88,9.12,267.63,17.82,32.3,1.15,-11.57,4.37,4.07,206.55
0.385,30.87,32.26,1.9,-4.91,5.85,5.13,66.65,19.88,32.43,0.65,-5.5,6.22,0.35,282.46,44.68,32.9,1.15,-4.22,3.16,7.73,267.63,17.82,35.2,1.14,-11.57,4.37,3.17,206.55
0.362,57.33,43.03,1.9,-4.91,5.85,5.13,190.0,18.32,39.95,1.88,-5.5,6.22,0.35,172.39,44.68,32.9,1.12,-4.22,9.18,9.12,170.65,17.82,32.3,1.15,-5.49,3.82,4.07,206.55
0.366,25.69,43.03,1.85,-4.91,5.85,5.13,190.0,19.88,32.43,0.98,-0.32,2.64,8.59,172.39,44.68,33.59,1.12,-11.97,3.16,7.73,170.65,17.82,35.2,1.15,-5.49,4.37,3.17,206.55
0.377,57.33,43.03,1.9,-13.18,6.48,5.13,190.0,18.32,32.43,0.98,-5.5,2.64,8.59,282.46,15.81,41.52,1.15,-4.22,3.16,9.12,170.65,57.04,35.2,1.15,-11.57,3.82,3.17,122.25
0.376,25.69,32.26,1.9,-13.18,5.26,2.27,190.0,18.32,39.95,0.65,-5.5,6.22,8.07,282.46,15.81,41.52,1.12,-4.22,9.18,9.12,170.65,57.04,35.2,1.14,-5.49,3.82,3.17,122.25
