update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
1,0,13,0.3142,15.0,60.0,0.91,0.0,10.0,1.16,50.0,15.0,43.76,0.21,-0.25,10.0,10.0,300.0,32.08,45.51,0.0,-15.0,9.25,0.1,300.0,15.0,46.31,0.0,0.0,7.59,0.1,50.0
1,0,14,0.3174,15.0,60.0,1.78,0.0,10.0,0.1,50.0,15.0,60.0,0.1,-0.82,10.0,10.0,300.0,56.16,45.66,0.0,-15.0,8.68,0.1,300.0,15.0,37.16,0.0,0.0,5.08,0.1,50.0
1,1,0,0.3821,60.0,45.1,0.2,-3.71,2.17,5.7,255.41,20.47,43.37,1.96,-12.49,9.45,9.01,78.2,41.42,43.16,2.0,-8.15,1.0,4.26,196.52,15.0,41.17,1.35,0.0,4.87,1.88,50.0
1,1,1,0.2905,56.4,45.62,0.0,-13.32,2.45,3.34,258.25,28.47,50.77,1.08,-3.36,10.0,10.0,240.67,60.0,56.81,2.0,-5.28,4.09,0.1,267.0,15.0,44.25,1.08,0.0,4.74,0.1,50.0
1,1,2,0.2528,60.0,47.16,0.94,-9.48,1.23,10.0,87.02,29.35,60.0,0.34,0.0,10.0,10.0,300.0,60.0,60.0,2.0,-0.38,6.7,0.1,186.22,15.0,53.02,0.52,0.0,10.0,0.1,127.27
1,1,3,0.33,22.6,60.0,1.7,-7.31,1.0,10.0,50.94,15.0,60.0,0.91,-4.43,10.0,10.0,300.0,60.0,60.0,2.0,-4.3,10.0,0.1,300.0,15.0,60.0,0.9,0.0,10.0,0.1,75.89
1,1,4,0.3144,30.25,60.0,1.96,-0.31,1.0,10.0,58.81,15.0,60.0,1.37,0.0,10.0,10.0,300.0,60.0,60.0,2.0,0.0,10.0,0.1,300.0,15.0,60.0,0.0,0.0,10.0,0.26,260.52
1,1,5,0.3469,35.68,60.0,2.0,0.0,1.81,10.0,270.22,15.0,60.0,2.0,-6.52,10.0,10.0,227.98,59.22,60.0,2.0,0.0,10.0,0.1,300.0,15.0,60.0,0.0,-0.09,10.0,2.17,300.0
1,1,6,0.3491,33.93,60.0,2.0,-1.27,1.0,10.0,187.16,15.0,60.0,2.0,-2.0,10.0,10.0,300.0,37.49,60.0,2.0,-7.38,10.0,0.1,300.0,15.0,60.0,0.0,-8.16,10.0,3.8,269.66
1,1,7,0.3438,31.25,60.0,2.0,-11.27,1.0,10.0,50.0,28.87,60.0,2.0,-8.24,10.0,8.55,300.0,60.0,60.0,2.0,-9.47,10.0,0.1,300.0,15.0,60.0,0.0,-2.49,10.0,0.1,300.0
1,1,8,0.3602,47.61,60.0,1.53,-10.77,1.0,10.0,138.31,15.0,60.0,2.0,-9.44,10.0,8.11,300.0,60.0,60.0,2.0,-4.2,10.0,0.1,300.0,15.0,60.0,0.0,-4.71,10.0,8.83,300.0
1,1,9,0.3723,40.81,60.0,1.44,-11.88,1.0,9.17,79.07,15.0,60.0,2.0,-13.49,10.0,6.91,300.0,60.0,60.0,2.0,-2.98,10.0,0.1,300.0,15.0,60.0,0.0,-3.02,10.0,10.0,254.16
