update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
2,0,9,0.3235,60.0,30.0,0.0,0.0,9.1,10.0,88.22,60.0,37.85,0.0,-15.0,6.83,4.55,50.0,60.0,30.0,0.0,-15.0,8.27,4.16,50.0,60.0,35.14,0.36,-10.02,2.49,10.0,50.0
2,0,10,0.4203,60.0,30.0,0.0,0.0,8.84,10.0,221.55,60.0,30.0,1.73,-15.0,9.35,1.55,50.0,60.0,30.0,0.0,-15.0,7.45,8.56,50.0,60.0,35.73,0.45,-4.87,5.37,10.0,50.0
2,0,11,0.3984,60.0,30.0,2.0,0.0,10.0,10.0,270.13,60.0,33.16,0.84,-15.0,5.9,0.1,53.32,60.0,30.0,0.0,-15.0,10.0,10.0,50.0,60.0,52.71,0.59,-7.04,7.05,10.0,50.0
2,0,12,0.3176,60.0,30.0,1.91,-0.89,10.0,10.0,298.81,60.0,34.1,0.0,-15.0,3.37,1.92,190.83,60.0,30.0,0.0,-15.0,10.0,0.73,50.0,60.0,60.0,0.0,-15.0,10.0,10.0,50.0
2,0,13,0.3129,60.0,30.0,0.83,0.0,10.0,10.0,212.01,60.0,30.0,0.0,-15.0,1.0,0.1,300.0,60.0,30.0,0.0,-15.0,10.0,0.1,50.0,60.0,60.0,0.0,-15.0,10.0,10.0,50.0
2,0,14,0.3144,60.0,30.0,0.63,0.0,10.0,10.0,300.0,60.0,30.0,0.0,-15.0,1.0,1.24,228.71,60.0,30.0,0.0,-15.0,10.0,0.1,50.0,60.0,60.0,0.0,-15.0,10.0,10.0,50.0
2,1,0,0.264,38.52,60.0,1.95,-7.93,6.79,5.82,300.0,44.98,60.0,1.19,-2.15,4.98,2.69,127.55,22.12,30.0,0.02,-12.41,1.43,2.54,211.7,38.46,60.0,0.23,-10.0,10.0,7.42,50.0
2,1,1,0.287,60.0,58.73,1.6,-5.24,3.02,0.1,300.0,37.07,60.0,1.06,0.0,10.0,0.1,50.0,15.0,30.0,0.26,-14.86,1.0,10.0,228.96,55.57,35.76,0.0,-14.92,10.0,8.8,50.0
2,1,2,0.2443,58.03,46.58,1.15,-2.28,1.73,0.1,300.0,26.32,60.0,0.64,0.0,2.86,0.1,241.56,31.4,30.0,0.0,-15.0,1.0,10.0,270.23,60.0,56.06,0.0,-15.0,7.76,10.0,85.87
2,1,3,0.2733,60.0,58.34,0.66,-8.35,1.0,0.1,300.0,27.75,60.0,0.51,0.0,6.29,0.1,236.78,15.0,30.0,0.0,-15.0,1.0,8.44,185.76,60.0,60.0,0.0,-15.0,5.77,10.0,277.83
2,1,4,0.3312,60.0,49.71,0.0,-1.94,1.0,0.1,300.0,15.0,60.0,1.01,0.0,9.05,0.1,183.61,15.0,30.0,0.0,-9.52,1.0,10.0,217.1,60.0,60.0,0.0,-15.0,5.97,9.48,181.62
2,1,5,0.3416,58.36,60.0,0.29,-5.82,1.0,0.1,300.0,15.0,49.3,1.5,0.0,10.0,0.1,199.27,15.0,30.0,0.0,-2.63,1.0,6.68,256.25,58.68,60.0,0.0,-15.0,4.52,10.0,241.87
2,1,6,0.3309,55.97,60.0,1.1,-3.01,1.0,0.1,300.0,15.0,49.56,2.0,0.0,10.0,0.1,300.0,15.0,30.0,0.0,-15.0,1.0,2.16,171.07,60.0,60.0,0.0,-15.0,1.0,10.0,171.26
2,1,7,0.3002,42.4,60.0,0.15,0.0,1.0,0.1,300.0,15.0,60.0,2.0,0.0,10.0,0.1,300.0,28.54,30.0,0.0,-15.0,1.0,0.95,50.0,60.0,50.81,0.0,-15.0,9.32,10.0,50.0
2,1,8,0.2959,60.0,60.0,0.2,0.0,1.0,0.1,300.0,15.38,49.76,1.73,-0.34,10.0,0.1,300.0,39.58,30.0,0.0,-11.49,1.0,0.1,69.93,60.0,39.74,0.0,-15.0,5.91,10.0,50.0
2,1,9,0.2623,60.0,60.0,1.09,0.0,1.0,0.1,300.0,36.64,53.59,2.0,-6.14,10.0,0.1,300.0,27.18,30.0,0.51,-15.0,1.0,0.1,130.86,60.0,50.79,0.0,-15.0,5.35,10.0,50.0
2,1,10,0.3145,60.0,60.0,1.14,0.0,1.0,0.1,300.0,44.94,58.48,2.0,-15.0,10.0,0.1,300.0,15.0,30.0,0.88,-15.0,1.0,0.1,50.0,60.0,51.33,0.0,-15.0,7.28,10.0,50.0
2,1,11,0.3169,60.0,60.0,2.0,0.0,1.0,0.1,300.0,41.98,60.0,2.0,-15.0,10.0,0.1,300.0,15.67,30.0,0.0,-15.0,1.0,0.1,130.47,60.0,60.0,0.0,-15.0,8.53,10.0,50.0
2,1,12,0.3402,60.0,60.0,2.0,0.0,1.0,0.1,300.0,25.93,60.0,2.0,-15.0,10.0,0.1,300.0,15.0,30.0,1.14,-15.0,1.0,0.1,298.74,60.0,60.0,0.0,-15.0,7.19,10.0,50.0
2,1,13,0.3156,60.0,60.0,2.0,0.0,1.0,0.1,300.0,60.0,60.0,2.0,-15.0,10.0,0.1,300.0,15.0,30.0,2.0,-15.0,1.0,0.1,300.0,60.0,60.0,0.0,-15.0,4.26,10.0,50.0
2,1,14,0.2955,60.0,60.0,2.0,0.0,1.0,0.1,300.0,51.66,60.0,2.0,-15.0,10.0,0.1,300.0,24.8,30.0,2.0,-15.0,1.0,0.1,300.0,60.0,60.0,0.0,-15.0,7.51,10.0,103.0
3,0,0,0.3462,37.45,48.31,0.48,-13.31,8.48,8.33,133.62,35.75,50.14,0.44,-1.09,8.68,0.1,271.2,15.0,30.0,2.0,-11.17,7.03,4.77,300.0,60.0,34.36,1.77,-15.0,3.07,1.07,253.39
3,0,1,0.3272,32.14,55.37,0.86,-15.0,10.0,10.0,300.0,32.75,38.62,0.0,-7.23,5.23,4.15,289.02,15.0,33.2,2.0,-9.06,5.32,4.04,218.68,60.0,30.0,0.0,-9.8,1.0,1.21,159.83
